Kurs,Sex,sw_i,sw_r,kw_i,kw_r,koop,ss_dgk,ss_pgk,ss_igk,ss_vgk,ss_kgk,Out_just_1,Out_just_2,Out_just_3,Out_just_4,Out_just_5,Out_just_6,Out_just_7,Out_effi_1,Out_effi_2,Out_effi_3,Out_effi_4,Out_effi_5,Out_effi_6,Out_effi_7
3,1,0.714285714285714,0.5625,0.75,0.733333333333333,0.321428571428571,4.6,4,4.5,5,4.25,0.5,0.333333333333333,0.428571428571429,,0.333333333333333,0.375,0.25,0.044,,0.088,,0.125,0.068,0.031
1,2,0.666666666666667,0.5625,0.65,0.8,0.357142857142857,2.8,3.75,3.75,5.33333333333333,2.25,0,0,0,0,0.5,0,0.125,0.08,0.108,0.051,0.055,0.152,0.053,0.088
2,2,0.523809523809524,0.5,0.65,0.933333333333333,0.273809523809524,4.4,4.5,3.75,4.66666666666667,4.5,0.625,1,0.857142857142857,0.8,,0.375,0.75,0.065,0.058,0.044,0.047,,0.042,0.021
3,1,0.380952380952381,0.375,0.4,0.333333333333333,0.333333333333333,2,4,5.25,4.33333333333333,3.75,0.25,1,,0.4,,0.25,,0.085,0.072,,0.036,,0.091,
1,1,0.666666666666667,0.4375,0.6,0.6,0.273809523809524,4.6,4.75,4.5,4.66666666666667,4,0.375,0.5,,,0.333333333333333,0.375,0.25,0.069,0.033,,,0.07,0.061,0.032
2,2,0.80952380952381,0.6875,0.75,0.866666666666667,0.345238095238095,5,4.5,5,5.33333333333333,5.25,0.25,1,0.285714285714286,0.2,0.333333333333333,0.375,0.5,0.053,0.081,0.043,0.069,0.103,0.087,0.034
2,1,0.333333333333333,0.375,0.6,0.8,0.321428571428571,5.2,5,4.75,4.66666666666667,4.75,0.125,0.833333333333333,0.571428571428571,0.4,0.333333333333333,,,0.106,0.108,0.087,0.159,0.085,,
2,2,0.714285714285714,0.375,0.75,0.6,0.333333333333333,5,4.75,4,5,5,0,0.333333333333333,0.428571428571429,0.2,0.333333333333333,0.125,0.5,0.067,0.045,0.026,,0.092,0.085,0.027
3,1,0.428571428571429,0.5625,0.6,0.6,0.261904761904762,5.6,4,4.25,5.33333333333333,4,0.375,,,,,,,0.116,,,,,,
1,2,0.523809523809524,0.375,0.65,0.266666666666667,0.321428571428571,4.8,4.25,5,5.33333333333333,4.5,0.375,0.666666666666667,0.142857142857143,0.6,,,0.75,0.059,0.091,0.081,0.035,,,0.061
